Word    :   Frequency
 : 1
॥੧੯॥ : 1
॥੧॥੧੧॥ : 1
॥੧॥੧੨॥ : 1
॥੧॥੧੨੨॥ : 1
॥੧॥੧੨੮॥ : 1
॥੧॥੧੩॥ : 1
॥੧॥੧੫॥ : 1
॥੧॥੧੯॥ : 1
॥੧॥੨੧॥ : 1
॥੧॥੨੨॥ : 1
॥੧॥੪॥੬॥ : 1
॥੧॥੫॥ : 1
॥੧॥੫੨॥ : 1
॥੧॥੬॥ : 1
॥੧॥੭॥ : 1
॥੧॥੮॥ : 1
॥੧੦॥੧॥੬॥ : 1
॥੧੦॥੧੧॥ : 1
॥੧੦॥੧੩॥ : 1
॥੧੦॥੨॥੭॥੫॥੨॥੭॥ : 1
॥੧੦॥੩॥ : 1
॥੧੦॥੪॥ : 1
॥੧੦॥੫॥ : 1
॥੧੦॥੬॥੨੩॥ : 1
॥੧੦॥੭॥ : 1
॥੧੦॥੮॥ : 1
॥੧੧॥੧॥ : 1
॥੧੧॥੬੧॥ : 1
॥੧੨॥੧॥੧੦॥ : 1
॥੧੨॥੧॥੨॥੨॥੩॥੭॥ : 1
॥੧੨॥੭॥ : 1
॥੧੨॥੮॥ : 1
॥੧੨॥੮੧॥ : 1
॥੧੨॥੯॥ : 1
॥੧੩॥੧॥ : 1
॥੧੩॥੧॥੨॥ : 1
॥੧੩੧॥ : 1
॥੧੩੨॥ : 1
॥੧੩੩॥ : 1
॥੧੩੪॥ : 1
॥੧੩੫॥ : 1
॥੧੩੬॥ : 1
॥੧੩੭॥ : 1
॥੧੩੮॥ : 1
॥੧੩੯॥ : 1
॥੧੪॥੧॥ : 1
॥੧੪॥੧॥੨॥੧੧॥ : 1
॥੧੪੦॥ : 1
॥੧੪੧॥ : 1
॥੧੪੨॥ : 1
॥੧੪੩॥ : 1
॥੧੪੪॥ : 1
॥੧੪੫॥ : 1
॥੧੪੬॥ : 1
॥੧੪੭॥ : 1
॥੧੪੮॥ : 1
॥੧੪੯॥ : 1
॥੧੫॥੧॥੧੮॥ : 1
॥੧੫॥੧॥੨॥ : 1
॥੧੫॥੨॥੧੯॥ : 1
॥੧੫॥੨॥੭॥ : 1
॥੧੫॥੩॥੧੨॥ : 1
॥੧੫॥੩॥੨੦॥ : 1
॥੧੫॥੪॥੨੧॥ : 1
॥੧੫॥੫॥੨੨॥ : 1
॥੧੫੦॥ : 1
॥੧੫੧॥ : 1
॥੧੫੨॥ : 1
॥੧੫੩॥ : 1
